COMPETITOR MARKETING & COMMUNICATIONS TRACKER;;;;;;;;;;;;;
Apollo Africa  |  Track campaigns, messaging shifts, PR moves and brand activity across all competitors  |  Updated monthly;;;;;;;;;;;;;
HOW TO USE:  Log every competitor comms move here — LinkedIn posts, press releases, awards, rebrands, campaigns, events, white papers.  'Key Message / Angle' = WHAT they are actually saying, not just that they said something.  'Apollo Counter-move?' = where intelligence becomes strategy.;;;;;;;;;;;;;
Date;Competitor;"Channel /
Medium";"Activity
Type";Campaign / Headline;Key Message / Angle;"Target
Audience";"Reach /
Scale";"Tone &
Quality";"Apollo
Relevance";Apollo Counter-move?;"Urgency
(H/M/L)";Source / Link;Notes
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
WHAT TO TRACK IN MARKETING & COMMS — Monthly monitoring guide;;;;;;;;;;;;;
LINKEDIN (monthly — 20 mins per competitor);;;;;;;;;;;;;
What to look for;;;New campaigns, deal announcements, sector targeting language shifts, executive personal posts, video content, polls, event promotions. The NUMBER of posts is itself a signal — a sudden increase means something is happening.;;;;;;;;;;
How to search;;;Visit each competitor's LinkedIn page > Posts > filter 'last 30 days'. Also search the CEO/MD personal profiles of Evan Rice (Etana), Karel Cornelissen (NOA), James Beatty (Enpower), Wayne Cowie (EXSA), Andre Nepgen (Discovery Green), Thembani Bukula (PowerX).;;;;;;;;;;
Red flag signals;;;A competitor suddenly posts 3x more than usual = major announcement coming. A new sector hashtag appears (#agri #datacentre #healthcare) = new sector push. A job posting for 'Head of Content' = comms team scaling up.;;;;;;;;;;
PRESS RELEASES & TRADE MEDIA (weekly — set Google Alerts);;;;;;;;;;;;;
Publications to monitor;;;Engineering News (engineeringnews.co.za) — the most important. Also: ESI-Africa, PV Magazine, Mining Weekly, BusinessTech, Daily Maverick Business, Moneyweb, Green Building Africa, IOL Business, Mail & Guardian.;;;;;;;;;;
Google Alert setup;;;Set alerts for: 'Etana Energy', 'NOA Group', 'Enpower Trading', 'EXSA', 'Discovery Green', 'Ampli Energy', 'Envusa Energy', 'Lyra Energy', 'PowerX trader', 'BluEnergy Trading', 'GreenCo Power Services', 'Investec trading'. Deliver daily digest to your email.;;;;;;;;;;
What triggers a log entry;;;Any article where the competitor is mentioned positively, any deal announcement, any quote from their leadership, any award or recognition, any criticism or controversy.;;;;;;;;;;
CONFERENCES & EVENTS (monthly check, quarterly update);;;;;;;;;;;;;
Key events to monitor for SA electricity traders;;;Mining Indaba (Feb, Cape Town) — NOA's home ground. African Utility Week (May, Cape Town) — most relevant for traders. C&I Energy+Storage Summit (Nov, Joburg). SANEA events. Nedbank Capital Green Economy Summit. Africa Energy Indaba (Mar, Cape Town).;;;;;;;;;;
What to look for;;;Which competitor CEOs are speaking? Which panels are traders on? Who is sponsoring? Who is exhibiting? A speaking slot = a message they want to amplify. A sponsorship = a significant budget commitment. No presence at a major event = a gap Apollo can fill.;;;;;;;;;;
Apollo opportunity;;;Apollo currently has NO visible conference presence in research. NOA is dominant at Mining Indaba. Apollo should target African Utility Week 2026 (May) for a speaking slot application immediately.;;;;;;;;;;
AWARDS & RECOGNITION (quarterly);;;;;;;;;;;;;
What to watch;;;Energy sector awards: ESI-Africa Energy Awards, Engineering News Awards, Financial Mail Top Empowerment, BUSA Awards, Greentech Capital Innovation Award. Award entries signal what a company wants to be known for — the category they enter is a strategic messaging choice.;;;;;;;;;;
Action;;;When a competitor wins an award, Apollo should enter the same or adjacent category the next cycle. Do not congratulate competitors publicly. Note it here and use it as a trigger to submit Apollo's own entry.;;;;;;;;;;
Current gaps;;;No competitor awards found in recent research — this is a comms opportunity for Apollo. Being first to win a credible energy sector award in the 'pure-play trader' category creates lasting brand equity.;;;;;;;;;;
MESSAGING DRIFT (quarterly — compare to Profiles sheet);;;;;;;;;;;;;
What is messaging drift;;;When a competitor changes their tag line, value proposition, or key messages, it signals a strategic repositioning. Sometimes subtle — a new word choice like 'firm power' or 'bankable off-take' signals they are targeting a new audience.;;;;;;;;;;
How to track;;;Each quarter, visit each competitor's website homepage and note their current tag line and hero message. Compare to what is in the Profiles sheet. If it has changed, update the Profile and note it here as a messaging shift.;;;;;;;;;;
Why it matters;;;Messaging shifts can reveal: entry into a new sector, response to a competitive threat, repositioning away from a struggling market, or anticipation of a regulatory change. The shift from 'renewable energy trader' to 'electricity aggregator' by some players in 2025 was an early signal of the SAWEM market approach.;;;;;;;;;;
WHAT APOLLO SHOULD DO — Comms priorities for Q2 2026;;;;;;;;;;;;;
1. Spokesperson strategy;;;Apollo needs a named public voice. MD Jenna Harris or CEO Ed Cameron should be submitting at least 1 op-ed per quarter to Business Day or Engineering News. Topic: 'Why pure-play independent trading is better for SA's energy market.' Frame Reunert backing as credibility without conflict of interest.;;;;;;;;;;
2. Deal PR process;;;Every signed PPA should have a press release. Etana and NOA do this consistently — it builds deal cadence perception and attracts more IPPs and customers. Apollo should aim for at least 1 deal PR per quarter minimum.;;;;;;;;;;
3. LinkedIn content calendar;;;Apollo's LinkedIn presence needs to be active. Minimum 2 posts per week: 1 market education post (how trading works, what wheeling is, why IPP-linked vs pure-play matters), 1 company/people post (culture, team, milestones). Do NOT just repost industry news.;;;;;;;;;;
4. Conference slot — African Utility Week May 2026;;;Apply for a speaking slot at African Utility Week 2026 (Cape Town, May) immediately. Topic suggestion: 'The case for independent trading: How pure-play aggregation creates better outcomes for IPPs and offtakers.' This is a differentiated angle no one else will own.;;;;;;;;;;
;;;;;;;;;;;;;
?? RED = High urgency — act this month;;;;?? AMBER = Medium — plan for next cycle;;;;?? GREEN = Low — log and watch;;;;;
;;;;;;;;;;;;;
? APOLLO AFRICA — OWN THOUGHT LEADERSHIP & CONTENT ACTIVITY (self-assessment);;;;;;;;;;;;;
18 Mar 2026;"Apollo Africa
(OWN content)";"Website /
Apollo Insights Blog";"Thought Leadership
Article";'Energy Trading as a Pillar of Electricity Market Reform' — Nico de Bruyn, CEO;Traders are not opportunists — they are essential market infrastructure. They de-risk IPP financial close, aggregate supply for customers who can't sign bilateral PPAs, and will be critical liquidity providers in SAWEM. Without traders, the energy transition stalls.;Policy makers, IPPs, large C&I energy managers, banks/lenders, NERSA, media;LOW currently — published only on apolloafrica.co.za. No evidence of syndication to trade press or LinkedIn amplification found.;Strong — well-argued, technically credible, covers SAWEM mechanics in depth. Clear differentiation of Apollo's role. Best Apollo content piece found.;SELF — this is Apollo's own content. Critical to amplify.;AMPLIFY IMMEDIATELY — submit to Engineering News as a guest opinion piece. Post on Nico de Bruyn's personal LinkedIn with key excerpts. Share on Apollo LinkedIn company page with a strong hook line. Key quote: 'Without traders, many businesses would be forced to remain on default supply or face closure due to increased cost of energy.';H;apolloafrica.co.za/post/energytrading-as-a-pillar-of-electricity-market-reform;6-min read. Covers: IPP financial close, aggregation model, SAWEM day-ahead market mechanics, merit order, layered procurement strategy. Strong SAWEM section — explains 1 June 2026 Phase 1 launch. This should be on Engineering News front page, not buried on apolloafrica.co.za.
3 Apr 2025;"Apollo Africa
(OWN content)";"Website /
Apollo Insights Blog";"Thought Leadership
Article";'SA's Critical Need for Wind Power Post-2030' — Jenna Harris, CEO (at time of writing);Coal decommissioning creates a nighttime energy gap that solar cannot fill. Wind is the answer. Apollo has deliberately prioritised wind over solar in its procurement strategy — this is why.;Large C&I energy managers, miners, manufacturers with 24/7 operations, IPP developers in wind;LOW — published on apolloafrica.co.za only. Not syndicated.;Strong — forward-looking, technically specific, takes a clear market position. '5GW nighttime gap' is a compelling, concrete stat. Apollo reveals its wind-first strategy publicly.;SELF — strategic positioning content Apollo should be amplifying.;AMPLIFY — this is exactly the kind of content that should appear in Engineering News or Mining Weekly as a bylined piece. The wind-first argument is differentiated. Quote: 'At Apollo Africa, we've chosen to prioritise wind over solar in our procurement strategy.';H;apolloafrica.co.za/post/the-future-energy-landscape-south-africa-s-critical-need-for-wind-power-post-2030;5-min read. Covers: coal decommissioning timeline (Hendrina, Grootvlei, Arnot, Camden, Kriel by 2030), nighttime energy gap, Eskom tariff restructuring, day-ahead market impact on distributors, wind as baseload solution. Published Apr 2025, updated Apr 4 2025. Authored by Jenna Harris (then CEO — now Nico de Bruyn is CEO per ZoomInfo).
19 Mar 2025;"Apollo Africa
(OWN content)";"Website /
Apollo Insights Blog";"Thought Leadership
Article";'SA's Energy Sector in 2025: A Year of Transformation in Energy Trading';The traditional bilateral supply model is being replaced by trader-led aggregation. Traders make energy accessible to smaller businesses at utility-scale pricing. The Day-Ahead Market will reward the lowest-cost generation. SA can become SAPP's power basket — but only if interconnector bottlenecks are resolved.;Energy investors, IPPs, large C&I buyers, media, policy community;LOW — website only. Not syndicated to trade press.;Strong — broad market overview, technically sound, good strategic framing. Covers grid constraints, DAM mechanics, cross-border opportunity. '5 min read' — accessible.;SELF — foundational market education content that should be reaching Apollo's target audience.;AMPLIFY — break this into a LinkedIn carousel or series. Key hook: 'The traditional bilateral energy model is undergoing a seismic transformation.' Good basis for a 2025 year-in-review post that could still be relevant framing for 2026 planning.;M;apolloafrica.co.za/post/south-africa-energy-trading-2025;5-min read. Covers: grid bottlenecks (collector grids), trader-led models, DAM mechanics, SAPP cross-border opportunity, interconnector constraints. No named author — published under Apollo Africa brand. Good state-of-market piece.
27 Mar 2025;"Apollo Africa
(OWN content)";"Website /
Video";Video Content;'Electricity Economics in SA: Why Businesses Must Rethink Energy Strategy Now' — Jenna Harris, CEO (video);Traditional assumptions about SA energy pricing are now outdated. Proactive businesses are already restructuring their energy strategies. Understand what is driving the change and how to position for energy stability and cost certainty.;C&I CFOs, energy managers, business owners;LOW — video hosted on apolloafrica.co.za only. Not uploaded to YouTube or LinkedIn natively.;Medium — video content is the right format for this audience but distribution is too limited to assess quality.;SELF — this is Apollo's own content.;AMPLIFY — upload this video natively to LinkedIn and YouTube. Video content gets 3x the reach of text posts on LinkedIn. Clip to a 60-second teaser. Jenna Harris on camera is strong executive visibility.;H;apolloafrica.co.za/post/electricity-economics-in-south-africa-why-businesses-must-rethink-energy-strategy-now;Video presented by Jenna Harris (former CEO/MD). Exact duration unknown. Hosted on Wix platform — not natively on LinkedIn or YouTube, which significantly limits organic reach and discoverability.
27 Mar 2025;"Apollo Africa
(OWN content)";"Website /
Video";Video Content;'How Apollo Africa Matches Supply to Business Demand Profiles';Maximising energy efficiency is about using renewables smartly. Apollo uses precision time-of-use modelling and blended supply mix design to reduce waste and improve reliability.;C&I energy managers, technical procurement teams;LOW — website only, Wix-hosted video.;Medium — product explainer format. Good for mid-funnel prospects who are evaluating Apollo.;SELF;AMPLIFY — repurpose as a LinkedIn document post or carousel showing the blended supply model visually. The 'demand profile matching' concept is differentiated and technical buyers respond to this. Create a downloadable one-pager version.;M;apolloafrica.co.za/post/energy-solutions-how-apollo-africa-matches-supply-to-business-demand-profiles;Short product explainer video. Covers time-of-use modelling, blended supply mix (wind + solar + storage), peak load management. Good mid-funnel content buried on website.
;;;;;;;;;;;;;
? APOLLO COMMS GAP ANALYSIS — What exists vs what is missing vs what to do next;;;;;;;;;;;;;
What Exists;;;;What Is Missing;;;;;Priority Action;;;;
"? Website blog with 4 quality articles (Mar–Apr 2025 and Mar 2026)
? 2x CEO video content pieces (Jenna Harris)
? Named CEO authorship (Nico de Bruyn, Mar 2026)
? Strong technical depth — SAWEM, DAM, wind-first strategy, demand profiling
? SAETA membership and Oct 2024 NERSA quote (Jenna Harris)";;;;"? No Engineering News or trade press syndication found
? No LinkedIn amplification of blog content found
? No YouTube channel / native LinkedIn video uploads
? No deal-specific press releases (unlike Etana, NOA, Enpower)
? No quarterly content cadence — 4 pieces over 13 months is inconsistent
? Nico de Bruyn not yet visible in trade media as Apollo CEO
? No Apollo presence at conferences found
? No downloadable reports, white papers or one-pagers";;;;;"1. IMMEDIATE: Syndicate the Nico de Bruyn article to Engineering News as guest op-ed — the content is ready, just needs submission.

2. IMMEDIATE: Upload the two Jenna Harris videos natively to LinkedIn and YouTube — zero new content creation required, just redistribution.

3. THIS MONTH: Post all 4 blog articles on Apollo LinkedIn with tailored hooks — again, zero new content creation.

4. NEXT 30 DAYS: Nico de Bruyn personal LinkedIn profile — ensure it is updated to reflect Apollo Africa CEO role and is active.

5. NEXT 60 DAYS: Create a simple deal PR template so every signed PPA gets a 200-word press release to trade media.

6. Q2 2026: Apply for African Utility Week 2026 (Cape Town, May) speaking slot — use the Nico de Bruyn article as the basis for a talk.";;;;
