USE OF SYSTEM AGREEMENT (UoSA) TRACKER — Municipal network access map;;;;;;;;;;;;
A UoSA = formal agreement between a trader and a municipality to use its distribution network for wheeling. Without a UoSA, a trader CANNOT serve customers in that municipality. This map shows who has access where.;;;;;;;;;;;;
WHY THIS MATTERS: Municipal network access is a structural competitive advantage. A trader with a UoSA in a municipality has the right to serve ALL C&I customers in that area. A trader without a UoSA must use Eskom's transmission grid only (limiting customer reach). Tracking who has UoSAs where = tracking geographic market control.;;;;;;;;;;;;
Municipality / Metro;Province;Competitor with UoSA;UoSA Status;"Date Signed
/ Announced";"Network Type
(Eskom / Municipal)";"Customers Served
under UoSA";"Annual Volume
(GWh est.)";"Strategic Importance
(H/M/L)";"Apollo
Access Here?";"Apollo
Opportunity?";Source / Reference;Notes
Govan Mbeki municipality (Eskom DAA target);;;;;;;;;;;;
City of Mbombela (Eskom Target for DAA);;;;;;;;;;;;
Emalahleni-MP (Eskom Target for DAA);;;;;;;;;;;;
Lekwa Local Municipality (Eskom DAA target );;;;;;;;;;;;
City of Matlosana (Eskom DAA target);;;;;;;;;;;;
Dihlabeng (Eskom DAA target);;;;;;;;;;;;
Moqhaka (Eskom DAA target);;;;;;;;;;;;
Enoch Mgijima (Eskom DAA target);;;;;;;;;;;;
Ngwathe (Eskom DAA target);;;;;;;;;;;;
Thaba Chweu (ESkom DAA target);;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
STRATEGIC MUNICIPALITY WATCHLIST — High-value targets to monitor for UoSA announcements;;;;;;;;;;;;
Municipality;Province;Why It Matters;Priority;Current Status;;;;;;;;
City of Johannesburg / City Power;Gauteng;Largest C&I market in SA. ~40% of SA's commercial electricity load. Whoever gets CoJ first has massive advantage.;Very High;Enpower in discussion;;;;;;;;
eThekwini / Durban Metro;KwaZulu-Natal;Major industrial and commercial hub. Port Durban logistics. Large manufacturing base.;Very High;No trader confirmed;;;;;;;;
Ekurhuleni Metro;Gauteng;SA's manufacturing heartland. Huge industrial load. Adjacent to OR Tambo logistics hub.;Very High;No trader confirmed;;;;;;;;
City of Tshwane;Gauteng;Government, tech, automotive (BMW, Ford). Growing data centre market.;High;No trader confirmed;;;;;;;;
Buffalo City / East London;Eastern Cape;Automotive manufacturing (Mercedes-Benz). Industrial base.;High;No trader confirmed;;;;;;;;
Sol Plaatje / Kimberley;Northern Cape;Mining region. Close to major solar resources in NC.;Medium;No trader confirmed;;;;;;;;
Mangaung / Bloemfontein;Free State;Regional hub. Agricultural processing nearby.;Medium;No trader confirmed;;;;;;;;
