NERSA LICENCE TRACKER — Who has what licence, when, and what it means;;;;;;;;;;;;;
Licence types: National Trading = buy/sell on Eskom national grid | Municipal = buy/sell via municipal distribution grid | Import/Export = cross-border SAPP trading | Eskom licence challenge: High Court review of Oct 2024 batch SUSPENDED Jul 2025 pending finalisation of trading rules (due Jun 2026);;;;;;;;;;;;;
Competitor;Domestic Trading Licence;"Licence Date
(Domestic)";Licence Scope;Import/Export Licence;I/E Date;Eskom Challenge?;Licence Duration / Term;"Strategy Signal
(what the licence reveals)";Target Market Implied;Primary Sectors Targeted;Municipal Networks Active;Pending Applications?;Notes / Source
Lyra Energy Trading;? GRANTED;30 July 2025;National;None confirmed;—;No – post-Eskom challenge (Eskom challenge preceded but did not include Lyra);Not disclosed;New entrant. Backed by Scatec + Standard Bank + Stanlib. Aggregator model targeting underserved mid-large C&I. First solar project (255MW Thakadu) under PPAs already.;Mid-large C&I national;General C&I (mid to large users);Not yet specified;None known;engineeringnews.co.za Aug 2025
Investec Trading;? GRANTED;September 2025;National (20-year licence);None confirmed;—;No – post-Eskom challenge suspension;20-year;First major bank to receive a trading licence. Will use balance sheet to fund IPPs + offtake. Initial project: 50MW Ilikwa Solar (Q2 2026). Risk management and hedging products likely to follow.;Large corporate + financial sector clients national;Mining, manufacturing, financial services clients;None currently — Eskom grid;None known;pv-magazine.com Sep 2025 / iol.co.za Sep 2025
BluEnergy Trading;? GRANTED;February 2026;National — municipal-focused strategy;None confirmed;—;No – most recent entrant, post-suspension;Multi-year;Uniquely municipal-focused. Cigicell prepaid infrastructure in 95+ municipalities is the differentiator. Targeting municipalities as primary customers — different go-to-market from all other traders.;Municipalities + large C&I via municipal grid;Municipal energy, general C&I via prepaid infrastructure;95+ municipalities across 9 provinces (via Cigicell);None known;solarquarter.com Feb 2026 / techcentral.co.za
Neura Trading;? GRANTED;~2022–2023;National;None confirmed;—;No – not challenged (early cohort);Not disclosed;Tech-differentiated trader. Proprietary hardware + software for SA market. NERSA listed Neura in early cohort alongside PowerX and Enpower. Low public profile — may be building quietly.;Large C&I national;General C&I, tech-enabled customers;Not specified;None known;NERSA hearing noticed Mar 2022 (nersa.org.za). cdh.com Aug 2025 list.
NTCSA;? GRANTED;September 2023;"National — Eskom grid only (buying from Eskom/IPPs; selling to Eskom Distribution exclusively)";? GRANTED;September 2023;No;5-year (transitional);State/SOE entity. Not a commercial competitor. 5-year transitional licence only. Will become the national transmission system operator and market operator. Critical regulatory actor rather than commercial rival.;Eskom Distribution (exclusive) — not commercial C&I;SOE/state — not a commercial competitor;National transmission — not municipal distribution;Market Operator licence (pending NERSA);esi-africa.com Sep 2023. engineeringnews.co.za
Anthem;No trading licence known;—;IPP only (generation licence);None;—;N/A;N/A;Large IPP (2GW+ portfolio). Not a licensed trader. Develops, builds, owns and operates generation assets. Sells to traders or under government REIPPPP. May pursue trading licence as market matures.;IPP — sells to traders and Eskom/REIPPPP;IPP-focused, all generation types;N/A;Possible future trading licence application;Anthem website / no public NERSA trading application found
SolarAfrica Trading;Unclear — likely subsidiary of SolarAfrica Energy IPP;—;Potentially national via IPP parent;None confirmed;—;Unknown;Not disclosed;SolarAfrica's trading arm appears to facilitate trades from its own 1GW SunCentral project. May operate under parent's generation licence rather than a standalone trading licence.;C&I customers of SolarAfrica's IPP projects;General C&I via SolarAfrica's solar portfolio;Not specified;Likely to apply for standalone trading licence;Limited public info on standalone trading licence
Sola Group;No standalone trading licence known;—;IPP generation licence (SOLA is vertically integrated IPP);None;—;N/A;N/A;Vertically integrated IPP + energy solutions provider. Not a licenced trader in the traditional sense. Competes on self-build generation + direct offtake rather than aggregated trading.;Direct C&I offtake from own assets;Commercial, industrial, agricultural;Not applicable;Possible future trading licence;SOLA Group website — no NERSA trading licence application found
Enpower Trading — I/E (cross-border);? (see row above);—;—;? GRANTED;July 2025;No;Not disclosed;Cross-border SADC via Enterprise Power DRC Kalumbila-Kolwezi interconnector (up to 700MW). First private SA trader with I/E licence after GreenCo.;Cross-border SAPP + SADC;Regional utilities, large industrials with cross-border ops;—;None known;greenbuildingafrica.co.za Aug 2025
Eskom Green;?? NOT YET GRANTED (as trading entity) — Eskom Green approved as subsidiary Dec 2025, but trading licence for the new entity is pending;Dec 2025 (subsidiary approval only);National — will compete for same Eskom-connected C&I customers as all private traders;? NTCSA has Import/Export licence (Sep 2023) — Eskom Green may inherit or apply separately;Sep 2023 (NTCSA entity);No — Eskom is the entity objecting to others' licences;20+ years (effectively perpetual as SOE);Entering the market as a direct C&I competitor to private traders. Strategy: retain customer relationships through green PPAs before customers defect to private traders. First REOP: 291MW solar, PPAs 5–25 years.;Large C&I — the exact same customer base as Apollo and all private traders;Mining, manufacturing, industrial, commercial real estate;Entire Eskom distribution and transmission network — incumbent advantage;Eskom Green trading licence application expected 2026;eskom.co.za Dec 2025 ministerial approval / Aug 2025 REOP launch / SAETA Policy to Power report Feb 2026
?? GREEN = Licence active, no Eskom challenge;;;?? AMBER = Licence active, subject to Eskom challenge (suspended Jul 2025);;;?? RED = No trading licence / IPP only;;;;;;;
