COMPETITOR PROFILES;;;;;;;;;;;;;;;;;;;
One row per competitor. Update only when fundamentals change.;;;;;;;;;;;;;;;;;;;
Competitor Name;Type of Trader;Key Owners / Shareholders;Target Market;Tag Line;Value Proposition / Positioning;Mission;Vision;Website;LinkedIn;NERSA License #;License Status;Estimated Market Position;Import / Export;SAPP Market Participant;GPPA (GWh);CPPA (GWh);Municipal Connected Offtakers;HQ / Region;Notes / Intel
Envusa Energy Trading;IPP linked, JV between EDF and Anglo, mostly own assets;EDF Energy Solutions, Anglo American;;Connecting you to sustainable energy ecosystems;Envusa Energy merges innovation, engineering prowess, and renewable energy solutions, to generate reliable, clean energy, to power a low-carbon future for Southern Africa.;NA;NA;https://envusa.com/;None;;;;;;;;;;
Green Electron Market;IPP linked, own assets;Sturdee Energy (Large-Medium scale IPP);;African Independent Electron Provider;"Integrated Renewable Energy Company
Sturdee Energy develops, owns and operates renewable energy projects to supply power to government utilities, large corporates and industrial clients in sub-Saharan Africa. Our focus is across solar PV, wind, and battery storage technologies.";The sustainable delivery of predictable economic and social returns to our investors and communities, through the development, ownership and operation of power projects in Africa as an Independent Electron Provider (IEP).;To deliver economic growth and socio-economic development to Africa through the production of reliable renewable energy;https://sturdee-energy.com/;https://www.linkedin.com/company/sturdee-energy;;;;;;;;;;
Lyra Energy ;IPP linked, own assets;Scatec, Stanlib, Standard Bank;;Lyra Energy is the smart, flexible private power supplt solution for industry.;Lyra Energy offers renewable energy from utility scale generation projects to private commercial and industrial users, at a discount to utility supply - through a flexible contracting structure.;NA;NA;Homepage - Lyra Energy;https://www.linkedin.com/company/lyra-energy;;;;;;;;;;
Investec Trading;Financial Institution;Investec Bank;;Energy Trading. Shaping South Africa's energy future, together.;"Investec helps shape a sustainable, efficient, and resilient energy future by enabling access to reliable, renewable power.

With our electricity trading licence, we guide clients through South Africa’s dynamic power market, offering tailored solutions to grow businesses, manage risk and create new possibilities.

By combining advanced technology, market access, and renewable energy partnerships, Investec is uniquely positioned to deliver measurable impact for clients while contributing to national energy security and decarbonisation.";NA;NA;https://www.investec.com/en_za/investec-for-corporates/campaigns/energy-trading.html;None;;;;;;;;;;
Solis Energy Trading;IPP linked, own assets;Mainstream Renewable Power;;Power your future with Solis Energy!;Welcome to Solis Energy, where innovation meets sustainability to redefine your power consumption. In a world leaning towards green, we stand at the forefront, guiding households into a future where energy is not just consumed, but conscientiously generated, stored, and utilized.;;;https://solis.energy/;No LinkedIn. Only FB, Insta and X;;;;;;;;;;
LinkSolar (Pty) Ltd;TBA;LinkSolar (Pty) Ltd;;Affordable Renewable Energy, Simplified;We deliver clean power seamlessly, saving you time, money, and emissions from day one.;;;https://linksolar.co.za/;https://www.linkedin.com/company/linksolarza;;;;;;;;;;
Neura Trading;Pure play trader;Nerua Group;Primary: Large C&I offtakers. Secondary Mid-market corporates;Neura is an energy technology business;NEURA has developed proprietary hardware, software and business applications that make it uniquely positioned to provide technological solutions for the Energy Sector in South Africa.;;;https://neura.solutions/home3/;None;;;;;;;;;;
BluEnergy Trading;Pure play trader;Subsidiary of JSE listed Blu Label unlimited;Municipal;BluEnergy Solutions. Renewable energy acess - made practical for South Africa.;"BluEnergy Solutions is an energy solutions company helping municipalities and large power users unlock renewable electricity through licensed trading capability and a delivery model built on real market infrastructure.

We leverage group experience and operational reach through our affiliations with Blu Label Unlimited and CigiCell—bringing execution strength, governance, and deep municipal market understanding to the renewable energy transition.";;;https://bluenergysolutions.co.za/;https://www.linkedin.com/company/bluenergy-solutions;;;;;;;;;;
Anthem;IPP;;;Power with Purpose.;Anthem is one of the largest Independent Power Producers (IPP) in South Africa. We develop, finance, build, own and operate large-scale renewable energy projects, with an asset portfolio of over 2GW and more than 11GW greenfield site pipeline.;;;https://www.anthem.co.za/;https://www.linkedin.com/company/bluenergy-solutions;;;;;;;;;;
PowerX ;Pure play trader;;Primary: Large C&I offtakers. Secondary Mid-market corporates;South Africa's Most Experienced Energy Trader;POWERX is South Africa's first privately licensed electricity trader. As pioneers in the private electricity industry, we aim to promote the growth of the green economy by contracting the generation of energy from renewable sources and trading this energy to consumers seeking its benefits.;;;POWERX – Africa's Energy Exchange;https://www.linkedin.com/company/powerxsa;;;;;;;;;;
NTCSA ;;;;;;;;NTCSA – National Transmission Company South Africa;;;;;;;;;;;
Eskom Green;State-owned renewable energy subsidiary (NOT a pure trader — direct competitor to private traders for C&I customers);Eskom Holdings SOC — 100% state-owned. Minister of Electricity approved structure Dec 2025.;Large C&I offtakers currently served by Eskom grid. Same customer base as all private traders.;Shaping South Africa's energy future together;Eskom Green will develop multiple clean energy projects, offer direct PPAs to large power users at competitive tariffs from Eskom-owned renewable sites, and compete directly with private traders for C&I offtake.;To accelerate deployment of renewable energy from Eskom-owned assets and offer direct procurement to businesses, reducing reliance on coal while retaining customer relationships.;A competitive, state-backed renewable energy business operating alongside the private sector by 2030.;https://www.eskom.co.za;N/A (Eskom Holdings LinkedIn);NTCSA TRD06/2023 (NTCSA trading licence) + Eskom Green own licence pending;Active — Eskom Green approved Dec 2025. REOP programme launched Aug 2025.;Tier 1 (Large);No (domestic SA focus);Yes — Eskom is an SAPP member;N/A — still in development;N/A;Entire Eskom distribution network (40% of SA grid);Johannesburg (Megawatt Park);CRITICAL WATCH. Eskom Green formally approved Dec 2025. First REOP: 291MW solar PPAs, 5–25 yr terms, COD Dec 2027. Pipeline: 2GW by 2026, 20GW+ long-term, 32GW incl green hydrogen by 2040. Eskom also awarded Enerweb contract Dec 2025 to build Virtual Wheeling Platform — currently excludes private traders pending June 2026 rules. Structural threat: Eskom retains customer relationships, billing infrastructure, and grid control. SAETA report specifically warned against Eskom Green distorting the market.
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
